fullVisitorId,signup_date
3901400518552363510,2016-11-11
0323732739183442027,2016-11-11
2031049660009965655,2016-11-11
5861084123746896964,2016-11-12
9907367677487600517,2016-11-12
5714214907468883559,2016-11-11
3289788464944617294,2016-11-11
2980514449809149971,2016-11-11
6226035879600892574,2016-11-12
763358531180221674,2016-11-11
4178496493341931404,2016-11-11
4648187948538937986,2016-11-12
7817393784145450667,2016-11-11
4716255151820283781,2016-11-11
7473976808680534947,2016-11-11
4333949250877868158,2016-11-12
5955341772343974643,2016-11-03
2054410252204746846,2016-11-12
6093003943871299913,2016-11-11
320858159866161783,2016-11-11
6213459824202327875,2016-11-12
9231816704952678210,2016-11-11
3765781278994748220,2016-11-11
5087509501018503665,2016-11-11
0892779213277562840,2016-11-11
4019165375156522631,2016-10-17
3663960240562249390,2016-11-11
0977623386028144883,2016-11-11
7954958648688935352,2016-11-11
7625251264631323311,2016-11-12
8769454640888405697,2016-11-11
8375573175227313014,2016-11-11
3222741477770804497,2016-11-11
7206028315177707327,2016-08-15
6369947663132089913,2016-11-11
9397009244751152228,2016-11-11
6294306617354418661,2016-11-11
6083169166959655842,2016-11-12
5634113538385875049,2016-11-11
6655674117876185431,2016-11-10
2504369638611034196,2016-11-11
0584204559489303655,2016-11-11
8542260485769058372,2016-11-12
7572168184471422301,2016-11-11
2416466435320363096,2016-11-11
961944434249389348,2016-11-11
4045907058998543555,2016-11-12
9650608291104508949,2016-11-11
4196418886710432062,2016-11-11
2554042260883348624,2016-11-11
3784130655835341050,2016-11-12
0250223080166000780,2016-10-13
1771849536340279878,2016-08-17
5450752281169268474,2016-10-12
3123913557014170290,2016-10-12
3532518198213954926,2016-10-12
6232145070850935818,2016-09-23
8564533882934556536,2016-10-12
1584640690230023610,2016-10-13
1046201813737445253,2016-10-12
0592675689179656048,2016-10-12
1020622223122055804,2016-10-12
0998675889114396262,2016-10-13
5580059668588437963,2016-10-12
3656654218006641156,2016-10-12
0966490432931406233,2016-10-12
3650058609176920305,2016-10-13
3679624082175483216,2016-10-13
5898180174179051644,2016-10-12
0701911106374279281,2016-10-12
6957550493905975321,2016-10-12
2996414686018133573,2016-10-12
4045190352711058710,2016-10-12
7607074797341675792,2016-10-12
8762828246578045701,2016-10-12
2826308465430987830,2016-10-12
5197305649384249287,2016-10-12
9677755672839768249,2016-10-12
4494191579625502571,2016-09-02
3855327981177096877,2016-10-12
7756944371260493270,2016-09-12
6823818900684967009,2016-09-14
3345987474291394702,2016-10-13
5583078823432253798,2016-10-12
3592650092040203293,2016-09-05
817827896196607153,2016-10-12
4504285277432418075,2016-10-13
9379448736320165088,2016-08-03
408026495269216211,2016-10-12
7016723866851304491,2016-10-05
7112142523791228399,2016-10-07
0484242158668894418,2016-10-13
558895640004823691,2016-08-13
704077312777470684,2016-10-12
2298379146037560079,2016-10-12
9704461828783181440,2016-10-13
2470671381134708863,2016-10-13
6325687309063087690,2016-09-26
4035509900990700744,2016-10-12
1275194197881483379,2016-10-12
6617122922360098423,2016-10-13
7692443104825957073,2016-10-12
8315722482502879972,2016-10-13
0376129110043402050,2016-10-13
2112700698274828715,2016-10-12
5606332034328527980,2016-10-12
1911042744045994933,2016-10-12
7707905041882424983,2016-10-12
3459576392396265387,2016-10-12
7837080603005773379,2016-10-12
6830550032068296529,2016-10-12
3003730478072732950,2016-10-13
1518012538932203528,2016-10-13
4123486318620893061,2016-10-13
5580607705550317760,2016-10-13
955549540735594018,2016-10-12
2132612138411014307,2016-10-12
8583198334392952860,2016-10-12
8740982289477000260,2016-10-13
9743036961914744870,2016-10-13
565941794641763580,2016-10-12
6102831341446465408,2016-10-12
0608329513136806480,2016-09-03
2657382760546799798,2016-10-12
1998878129919288970,2016-10-12
8443245836642861814,2016-10-13
269417413167966331,2016-10-12
6021142441831659655,2016-10-12
0138340740612683332,2016-10-12
4552639173435002379,2016-10-12
0667735671271307603,2016-10-13
3031182172494159502,2016-10-12
4689661143368532338,2016-10-12
6736665094050654712,2016-10-12
2688505472654204368,2016-10-12
6234257246202779256,2016-10-12
9408826625680498099,2016-09-01
5969230770888123764,2016-10-13
9272715405728579317,2016-10-13
3158979948744289002,2016-10-12
1149490974651515108,2016-10-13
7014678739663936931,2016-10-12
9184672558202853960,2016-10-13
6193455607355241033,2016-10-12
7877559527982923221,2016-10-13
6592086473067762381,2016-10-12
4293119330849930444,2016-10-01
3923462607526611122,2016-11-23
6689507985479949084,2016-11-23
2064279488529032579,2016-11-23
5393103252770284975,2016-11-24
2796443421157746326,2016-11-23
3586206861021784645,2016-11-23
2205747957721461605,2016-11-23
8642786885027209741,2016-11-24
4050319387234183414,2016-11-24
1613176957255478068,2016-11-23
1767287947784299822,2016-11-24
8557711540387308649,2016-11-23
7236867869332865618,2016-11-23
1365780259270782777,2016-11-23
7444676432457065698,2016-11-23
8861121574170042479,2016-11-23
4201902003346289549,2016-11-23
1098081421610999228,2016-11-23
1317792045228381733,2016-11-24
7086533234084225791,2016-11-23
9004354334287366944,2016-11-23
6785442734942285530,2016-11-23
6348403377787912310,2016-11-23
3686172231447976393,2016-11-23
6191374675134725372,2016-11-23
0289278451885244272,2016-11-23
4014628795301785501,2016-11-24
3123624760771399115,2016-11-24
719791284781624958,2016-11-23
5679630719518824046,2016-11-23
5977964971028774147,2016-11-23
5437796419440253466,2016-11-23
2372950444926539624,2016-08-19
1008337557650313872,2016-11-23
8808892234460974856,2016-11-23
1682581558440618985,2016-11-23
8699205483945049397,2016-11-23
0684520078257529705,2016-11-23
1156146027779990979,2016-11-23
2459302321555059017,2016-11-23
9042471036780807416,2016-11-23
9041469484376625554,2016-11-23
7501392418622165235,2016-11-24
3414059230173281053,2016-11-23
0609670787880013989,2016-11-24
2631764342562733288,2016-11-23
7395363041849160610,2016-11-23
0600727298198431712,2016-11-23
8175941909874559690,2016-11-23
59102921285676668,2016-10-30
